CreditoID,FechaCorte,SalCapVigente,SalCapAtrasado,SalCapVencido,SalCapVenNoExi,SalIntOrdinario,SalIntAtrasado,SalIntVencido,SalIntProvision,SalIntNoConta,SalMoratorios,SalComFaltaPago,SalOtrasComisi,SalIVAInteres,SalIVAMoratorios,SalIVAComFalPago,SalIVAComisi,PasoCapAtraDia,PasoCapVenDia,PasoCapVNEDia,PasoIntAtraDia,PasoIntVenDia,CapRegularizado,IntOrdDevengado,IntMorDevengado,ComisiDevengado,PagoCapVigDia,PagoCapAtrDia,PagoCapVenDia,PagoCapVenNexDia,PagoIntOrdDia,PagoIntVenDia,PagoIntAtrDia,PagoIntCalNoCon,PagoComisiDia,PagoMoratorios,PagoIvaDia,IntCondonadoDia,MorCondonadoDia,DiasAtraso,NoCuotasAtraso,MaximoDiasAtraso,LineaCreditoID,ClienteID,MonedaID,FechaInicio,FechaVencimiento,FechaExigible,FechaLiquida,ProductoCreditoID,EstatusCredito,SaldoPromedio,MontoCredito,FrecuenciaCap,PeriodicidadCap,FrecuenciaInt,PeriodicidadInt,NumAmortizacion,FechTraspasVenc,FechAutoriza,ClasifRegID,Calificacion,PorcReserva,EmpresaID,Usuario,FechaActual,DireccionIP,ProgramaID,Sucursal,NumTransaccion
100002434,2015-01-19,0.00,2321.59,0.00,0.00,0.00,38.05,0.00,0.00,0.00,284.53,258.62,0.00,1789.29,63.98,268.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54,2,53,0,189,1,2013-07-25,2014-12-11,1900-01-01,1900-01-01,1100,V,2321.59,29500.00,C,14,C,14,36,1900-01-01,2013-07-25,41120,C1,30.00,1,17,"2015-01-20 10:38:46",192.168.30.2,CARTERACIEDIAPRO,1,412736
100002442,2015-01-19,0.00,0.00,22589.32,0.00,0.00,0.00,1743.32,0.00,3736.80,22089.82,2586.20,0.00,237.83,17.37,41.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,487,21,360,0,190,1,2013-07-26,2014-06-27,1900-01-01,1900-01-01,1100,B,22589.32,25000.00,C,14,C,14,24,2013-12-18,2013-07-25,41120,E,100.00,1,17,"2015-01-20 10:38:46",192.168.30.2,CARTERACIEDIAPRO,1,412736
100002469,2015-01-19,0.00,0.00,12781.82,0.00,0.00,0.00,1664.38,0.00,1419.61,11453.94,1810.20,0.00,234.55,8.73,41.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,459,21,360,0,192,1,2013-07-26,2014-07-25,1900-01-01,1900-01-01,1100,B,12781.82,15000.00,C,14,C,14,26,2014-01-15,2013-07-25,41120,E,100.00,1,17,"2015-01-20 10:38:46",192.168.30.2,CARTERACIEDIAPRO,1,412736
100002485,2015-01-19,0.00,0.00,8053.61,0.00,0.00,0.00,989.82,0.00,777.42,7005.26,1680.90,0.00,196.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,442,39,364,0,194,1,2013-07-29,2014-07-28,1900-01-01,1900-01-01,1100,B,8053.61,10000.00,S,7,S,7,52,2014-02-04,2013-07-25,41120,E,100.00,1,17,"2015-01-20 10:38:46",192.168.30.2,CARTERACIEDIAPRO,1,412736
100002558,2015-01-19,0.00,0.00,5331.52,0.00,0.00,0.00,402.61,0.00,210.38,6488.07,517.28,0.00,87.26,3.85,10.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,480,9,0,0,199,1,2013-08-02,2014-01-17,1900-01-01,1900-01-01,1100,B,5331.52,7500.00,C,14,C,14,12,2013-12-26,2013-08-01,41120,E,100.00,1,17,"2015-01-20 10:38:46",192.168.30.2,CARTERACIEDIAPRO,1,412736
100002566,2015-01-19,0.00,0.00,1002.00,0.00,0.00,0.00,12.06,0.00,0.00,576.93,0.00,0.00,495.15,87.75,62.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,284,1,283,0,200,1,2013-08-02,2014-04-11,1900-01-01,1900-01-01,1100,B,1002.00,15000.00,C,14,C,14,18,2014-06-25,2013-08-01,41120,E,100.00,1,17,"2015-01-20 10:38:46",192.168.30.2,CARTERACIEDIAPRO,1,412736
100002574,2015-01-19,2512.38,773.47,0.00,0.00,0.00,71.99,0.00,18.35,0.00,11.30,86.20,0.00,1595.41,5.30,41.37,0.00,773.47,0.00,0.00,71.99,0.00,0.00,3.67,11.30,86.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,1,8,0,201,1,2013-08-06,2015-02-15,1900-01-01,1900-01-01,1300,V,3309.97,20000.00,Q,15,Q,15,36,1900-01-01,2013-08-05,41120,B1,4.00,1,17,"2015-01-20 10:38:46",192.168.30.2,CARTERACIEDIAPRO,1,412736
100002663,2015-01-19,0.00,0.00,4916.48,0.00,0.00,0.00,371.40,0.00,34.66,4878.59,603.40,0.00,229.68,77.42,55.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,398,8,355,0,208,1,2013-08-14,2014-03-26,1900-01-01,1900-01-01,1100,B,4916.48,10000.00,C,14,C,14,16,2014-03-03,2013-08-13,41120,E,100.00,1,17,"2015-01-20 10:38:46",192.168.30.2,CARTERACIEDIAPRO,1,412736
100002761,2015-01-19,0.00,0.00,9536.32,8587.48,0.00,0.00,1251.38,388.97,6.91,1591.87,258.62,0.00,3595.02,176.81,165.52,0.00,0.00,9536.32,8587.48,0.00,1251.38,0.00,0.00,27.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92,4,91,0,60,1,2013-08-19,2015-02-19,1900-01-01,1900-01-01,1300,B,18123.80,50000.00,M,30,M,30,18,2015-01-19,2013-08-16,41120,D,75.00,1,17,"2015-01-20 10:38:46",192.168.30.2,CARTERACIEDIAPRO,1,412736
100002809,2015-01-19,0.00,0.00,11238.56,0.00,0.00,0.00,1505.52,0.00,1357.78,10261.67,1357.86,0.00,77.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,473,22,360,0,215,1,2013-08-23,2014-07-25,1900-01-01,1900-01-01,1300,B,11238.56,12000.00,C,14,C,14,24,2014-01-02,2013-08-21,41120,E,100.00,1,17,"2015-01-20 10:38:46",192.168.30.2,CARTERACIEDIAPRO,1,412736
